2800:3f0:4002:80c::2003 google.com.ar
2800:3f0:4002:80a::200e google.com
2800:3f0:4002:808::200e google.com
2800:3f0:4002:809::200e google.com
2800:3f0:4002:808::2003 google.com.ar
2800:3f0:4002:80a::2003 google.com.ar
200.45.48.233 Satellite_AR_Resolver
179.60.235.213 Satellite_AR_Resolver
190.183.254.106 Satellite_AR_Resolver
181.30.11.136 Satellite_AR_Resolver
200.55.59.102 Satellite_AR_Resolver
200.85.182.178 Satellite_AR_Resolver
131.255.6.76 Satellite_AR_Resolver
186.33.209.15 Satellite_AR_Resolver
