url,category_code,category_description,date_added,source,notes,
support.therapytribe.com/hivaids-support-group,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
t.co,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
tacticaltech.org,HUMR,Human Rights Issues,2017-02-17,OONI,,
tails.boum.org,ANON,Anonymization and circumvention tools,2016-08-31,sinarproject,Updated by OONI on 2017-02-14,
technorati.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
teenadvice.about.com,XED,Sex Education,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
telecomix.org,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
thehackernews.com,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
theintercept.com,NEWS,News Media,2017-08-28,Artigo 19 + CryptoRave + Coding Rights,Jornalismo independente (Mapeamento Artigo 19),
thenationalcampaign.org,XED,Sex Education,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
thepiratebay.org,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
thepiratebay.se,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
timesofindia.indiatimes.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
tinyurl.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
tor.eff.org,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
torah.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
torrentz.eu,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
translate.google.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
translate.reference.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
translation.langenberg.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
translation2.paralink.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
translator.babylon-software.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
transsexual.org,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
trashy.com,PROV,Provocative Attire,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
triviasecurity.net,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
turbobit.net,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
tvants.uptodown.com,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
twilight.ws,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
twitpic.com,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
twitter.com,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
twitter.com,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
twitter.com/anonops,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
twitter.com/youranonnews,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ultrasurf.us,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ultrasurf.us,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
unpo.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
uploaded.to,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
veracrypt.codeplex.com,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
vho.org,HATE,Hate Speech,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
video.google.com,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
vimeo.com,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
voice.yahoo.jajah.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
warc.jalb.de,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
web.unep.org,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
weblogs.us,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
webmail.sso.bluewin.ch,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
wedo.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
weedfarmer.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
whitehonor.com,HATE,Hate Speech,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
wikileaks.org,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
wilpf.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
witness.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
wkkf.org,ECON,Economics,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
womeninblack.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
wordpress.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
wordpress.org,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
world.internationalism.org,POLR,Political Criticism,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
worldofwarcraft.com,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
worldsingles.com,DATE,Online Dating,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
wupj.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
wwf.panda.org,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
100webspace.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
150m.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
163.com,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
1and1.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
23.org,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
2ddepot.com,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
2shared.com,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
3wishes.com,PROV,Provocative Attire,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
43things.com,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
4chan.org,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
4online-gambling.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
4shared.com,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
888casino.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
89.com,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
911memorial.org,CULTR,Culture,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
911truth.org,CULTR,Culture,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
abcunderwear.com,PROV,Provocative Attire,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
abortionno.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
absinth.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
absolut.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
