url,category_code,category_description,date_added,source,notes,
cpj.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
crackz.ws,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
crazyshit.com,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
crisisgroup.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
crs.org,ECON,Economics,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
cseindia.org,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
csidonline.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
csmonitor.com,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
cwgl.rutgers.edu,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
cyber-pirates.org,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
dailymail.co.uk,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
dailymotion.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
darknet.org.uk,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
darpa.mil,GOVT,Government,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
date.com,DATE,Online Dating,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
dating.com,DATE,Online Dating,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
datingdirect.com,DATE,Online Dating,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
datpiff.com,CULTR,Culture,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
dd-rd.ca,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
dea.gov/index.shtml,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
deathmetal.org,CULTR,Culture,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
defense.gov,GOVT,Government,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
delicates.co.uk,PROV,Provocative Attire,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
democracycaucus.net,POLR,Political Criticism,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
democracynow.org,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
depositfiles.com,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
derechos.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
dfid.gov.uk,ECON,Economics,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
dharmanet.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
dia.mil,GOVT,Government,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
